               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.029704,            0.019221,          0.00091759,             0.89493,             0.90556,             0.87919,             0.56307,            0.028605,            0.010993,           0.0005692,           0.0089902,           0.0089902,           0.0089902
                 104,             0.02979,            0.018989,            0.001037,             0.92196,             0.93333,             0.90578,             0.55772,            0.027505,            0.010943,          0.00070906,           0.0089803,           0.0089803,           0.0089803
                 105,            0.030068,            0.018627,          0.00092836,             0.91846,             0.93333,             0.91889,             0.55195,            0.027374,            0.011086,          0.00062602,           0.0089704,           0.0089704,           0.0089704
                 106,            0.029942,            0.018518,           0.0008584,             0.98668,                   1,               0.995,             0.59229,            0.026696,            0.011012,          0.00056362,           0.0089605,           0.0089605,           0.0089605
                 107,            0.030027,            0.018932,          0.00090836,             0.98264,                   1,               0.995,             0.56931,               0.028,            0.011333,          0.00077667,           0.0089506,           0.0089506,           0.0089506
                 108,            0.029893,            0.018231,          0.00090691,             0.96019,             0.97222,             0.97529,              0.5882,            0.027309,             0.01136,          0.00097396,           0.0089407,           0.0089407,           0.0089407
                 109,            0.030013,            0.018746,           0.0011372,             0.98347,             0.93333,             0.98389,             0.55703,             0.02688,            0.010962,          0.00086856,           0.0089308,           0.0089308,           0.0089308
                 110,            0.029628,            0.019056,          0.00088102,             0.98523,             0.99222,               0.995,             0.58823,            0.027708,            0.011503,           0.0005512,           0.0089209,           0.0089209,           0.0089209
                 111,            0.030054,            0.018622,          0.00092332,             0.98664,                   1,               0.995,             0.57319,            0.027625,            0.011592,          0.00055275,            0.008911,            0.008911,            0.008911
                 112,            0.029712,            0.018404,          0.00095648,              0.9173,             0.93333,             0.91889,             0.55196,            0.027532,            0.011258,          0.00076206,           0.0089011,           0.0089011,           0.0089011
                 113,            0.029993,            0.018833,            0.000936,             0.99158,                   1,               0.995,             0.56248,            0.028082,             0.01082,          0.00047898,           0.0088912,           0.0088912,           0.0088912
                 114,            0.029504,            0.018554,          0.00088611,             0.98561,                   1,               0.995,             0.54999,            0.028603,            0.011099,          0.00045969,           0.0088813,           0.0088813,           0.0088813
                 115,            0.029471,            0.018478,          0.00091772,               0.917,             0.93284,             0.90567,             0.58115,            0.027862,            0.011136,          0.00054698,           0.0088714,           0.0088714,           0.0088714
                 116,            0.029355,            0.018473,          0.00082995,             0.91384,             0.92825,             0.91889,             0.56794,            0.028254,            0.010718,          0.00078192,           0.0088615,           0.0088615,           0.0088615
                 117,            0.029811,             0.01867,          0.00092132,             0.98766,                   1,               0.995,             0.55371,            0.028184,            0.011183,          0.00070105,           0.0088516,           0.0088516,           0.0088516
                 118,            0.029652,            0.017962,           0.0009497,             0.95101,             0.96403,             0.96227,             0.56505,            0.027768,            0.011504,          0.00062506,           0.0088417,           0.0088417,           0.0088417
                 119,            0.029627,            0.018393,          0.00096837,             0.94957,             0.87778,             0.91512,             0.53828,            0.028794,            0.011891,           0.0008266,           0.0088318,           0.0088318,           0.0088318
                 120,            0.029785,            0.018276,          0.00091321,             0.98145,             0.93333,             0.97595,             0.56466,            0.029672,            0.011176,          0.00098879,           0.0088219,           0.0088219,           0.0088219
                 121,            0.029278,            0.018803,          0.00090976,             0.98349,                   1,               0.995,              0.5765,            0.027997,            0.011583,          0.00060411,            0.008812,            0.008812,            0.008812
                 122,            0.029081,            0.018199,          0.00075371,             0.91385,             0.93333,             0.93233,              0.6005,            0.027232,            0.011162,            0.000458,           0.0088021,           0.0088021,           0.0088021
                 123,            0.029635,            0.018624,          0.00094875,             0.92258,             0.93333,               0.919,             0.55464,            0.028661,            0.011112,          0.00051203,           0.0087922,           0.0087922,           0.0087922
                 124,            0.029676,            0.018593,          0.00087499,             0.95989,             0.93333,             0.93245,             0.55578,            0.028073,            0.010833,           0.0007211,           0.0087823,           0.0087823,           0.0087823
                 125,            0.029561,            0.017975,          0.00087924,             0.98452,             0.99279,               0.995,             0.58009,            0.025632,            0.011013,          0.00043752,           0.0087724,           0.0087724,           0.0087724
                 126,            0.029362,            0.018207,          0.00086399,             0.92114,             0.93333,             0.94064,             0.57677,            0.027497,            0.011415,          0.00045123,           0.0087625,           0.0087625,           0.0087625
                 127,            0.029445,            0.018633,          0.00094694,              0.9885,                   1,               0.995,             0.59011,            0.025931,            0.011226,          0.00044649,           0.0087526,           0.0087526,           0.0087526
                 128,            0.029678,            0.018332,          0.00091582,             0.98843,                   1,               0.995,             0.57649,            0.027815,            0.011001,          0.00063703,           0.0087427,           0.0087427,           0.0087427
                 129,            0.029491,            0.018119,          0.00092743,             0.96149,             0.97222,              0.9594,             0.56264,            0.028136,            0.011645,          0.00063131,           0.0087328,           0.0087328,           0.0087328
                 130,            0.029836,            0.018249,          0.00076102,             0.99156,                   1,               0.995,             0.55198,            0.028961,            0.011683,          0.00080385,           0.0087229,           0.0087229,           0.0087229
                 131,            0.029342,            0.018971,          0.00094491,             0.95157,             0.97222,             0.95755,             0.56278,            0.029306,            0.011642,          0.00092802,            0.008713,            0.008713,            0.008713
